Unnamed: 0,Episode Title,Date,Date.1,Time,Length,⇩ Rating,Share,AI,Chart
802,The Savages: Episode 3,Sat,11 Jun 1966,5:34pm,00:24:59,5.00m,,48.0,66
803,Paradise Towers: Part Three,Mon,19 Oct 1987,7:36pm,00:24:30,5.00m,,58.0,79
804,The Trial Of A Time Lord (Mindwarp): Part Eight,Sat,25 Oct 1986,5:47pm,00:24:44,5.00m,,72.0,84
805,The Greatest Show in the Galaxy: Part One,Wed,14 Dec 1988,7:34pm,00:24:23,5.00m,,68.0,86
806,Survival: Part One,Wed,22 Nov 1989,7:35pm,00:24:14,5.00m,,69.0,89
807,Survival: Part Three,Wed,6 Dec 1989,7:35pm,00:24:20,5.00m,,71.0,91
808,Paradise Towers: Part Four,Mon,26 Oct 1987,7:35pm,00:24:21,5.00m,,57.0,93
809,Remembrance of the Daleks: Part Four,Wed,26 Oct 1988,7:34pm,00:24:36,5.00m,,72.0,96
810,The Leisure Hive: Part Two,Sat,6 Sep 1980,6:20pm,00:20:45,5.00m,,,103
811,Meglos: Part One,Sat,27 Sep 1980,6:16pm,00:24:43,5.00m,,61.0,105
812,The Leisure Hive: Part Three,Sat,13 Sep 1980,5:57pm,00:21:21,5.00m,,,111
813,World Enough And Time,Sat,24 Jun 2017,6:45pm,00:45:41,5.00m,28.2%,85.0,21
814,Ascension of the Cybermen,Sun,23 Feb 2020,7:10pm,00:49:24,4.99m,22.6%,81.0,25
815,The Trial Of A Time Lord (The Mysterious Planet): Part One,Sat,6 Sep 1986,5:46pm,00:24:57,4.90m,,72.0,69
816,The Trial Of A Time Lord (The Mysterious Planet): Part Two,Sat,13 Sep 1986,5:46pm,00:24:44,4.90m,,69.0,75
817,The Smugglers: Episode 2,Sat,17 Sep 1966,5:54pm,00:24:27,4.90m,,45.0,77
818,The War Games: Episode Seven,Sat,31 May 1969,5:16pm,00:22:28,4.90m,,53.0,83
819,Time and the Rani: Part Four,Mon,28 Sep 1987,7:35pm,00:24:38,4.90m,,59.0,86
820,Can You Hear Me?,Sun,9 Feb 2020,7:10pm,00:49:15,4.90m,21.6%,78.0,35
821,Survivors of the Flux: Flux: Chapter Five,Sun,28 Nov 2021,6:26pm,00:50:34,4.87m,,77.0,22
822,The Lie Of The Land,Sat,3 Jun 2017,7:38pm,00:44:38,4.82m,20.3%,82.0,30
823,The Savages: Episode 1,Sat,28 May 1966,5:36pm,00:23:41,4.80m,,48.0,62
824,The Trial Of A Time Lord (Mindwarp): Part Five,Sat,4 Oct 1986,5:47pm,00:24:42,4.80m,,71.0,76
825,Inferno: Episode 3,Sat,23 May 1970,5:15pm,00:24:34,4.80m,,60.0,85
826,Survival: Part Two,Wed,29 Nov 1989,7:35pm,00:24:13,4.80m,,69.0,96
827,The Greatest Show in the Galaxy: Part Three,Wed,28 Dec 1988,7:39pm,00:24:30,4.80m,,69.0,108
828,The Eaters of Light,Sat,17 Jun 2017,6:45pm,00:42:20,4.73m,30.3%,81.0,26
829,The War Machines: Episode 2,Sat,2 Jul 1966,6:56pm,00:24:00,4.70m,,45.0,76
830,Dragonfire: Part Three,Mon,7 Dec 1987,7:35pm,00:24:26,4.70m,,64.0,94
831,Meglos: Part Four,Sat,18 Oct 1980,5:44pm,00:19:30,4.70m,,63.0,127
832,Meglos: Part Three,Sat,11 Oct 1980,5:42pm,00:21:19,4.70m,,,129
833,"Once, Upon Time: Flux: Chapter Three",Sun,14 Nov 2021,6:30pm,00:49:03,4.70m,,75.0,20
834,The Timeless Children,Sun,1 Mar 2020,6:53pm,01:05:45,4.69m,21.5%,82.0,30
835,The Vanquishers: Flux: Chapter Six,Sun,5 Dec 2021,6:22pm,00:59:16,4.68m,20.7%(i),76.0,22
836,The Trial Of A Time Lord (Mindwarp): Part Six,Sat,11 Oct 1986,5:45pm,00:24:45,4.60m,,69.0,87
837,The Trial Of A Time Lord (Terror of the Vervoids): Part Ten,Sat,8 Nov 1986,5:45pm,00:24:18,4.60m,,69.0,93
838,The Happiness Patrol: Part Two,Wed,9 Nov 1988,7:35pm,00:24:48,4.60m,,65.0,104
839,Village of the Angels: Flux: Chapter Four,Sun,21 Nov 2021,6:19pm,00:56:35,4.57m,,79.0,19
840,Paradise Towers: Part One,Mon,5 Oct 1987,7:34pm,00:24:33,4.50m,,61.0,88
841,The Savages: Episode 4,Sat,18 Jun 1966,5:35pm,00:24:41,4.50m,,48.0,93
842,The Smugglers: Episode 4,Sat,1 Oct 1966,5:51pm,00:23:37,4.50m,,43.0,109
843,The Leisure Hive: Part Four,Sat,20 Sep 1980,6:15pm,00:21:19,4.50m,,65.0,111
844,Eve Of The Daleks,Sat,1 Jan 2022,7:01pm,00:58:15,4.40m,21.2%,77.0,26
845,The Trial Of A Time Lord (The Ultimate Foe): Part Thirteen,Sat,29 Nov 1986,5:19pm,00:24:42,4.40m,,69.0,98
846,An Unearthly Child,Sat,23 Nov 1963,5:16pm,00:23:10,4.40m,,63.0,114
847,State of Decay: Part Three,Sat,6 Dec 1980,5:40pm,00:24:13,4.40m,,,145
848,Time and the Rani: Part Three,Mon,21 Sep 1987,7:35pm,00:24:23,4.30m,,57.0,81
849,The Smugglers: Episode 1,Sat,10 Sep 1966,5:49pm,00:24:36,4.30m,,47.0,96
850,The Curse of Fenric: Part One,Wed,25 Oct 1989,7:34pm,00:24:23,4.30m,,67.0,104
851,Time and the Rani: Part Two,Mon,14 Sep 1987,7:34pm,00:24:36,4.20m,,63.0,85
852,The War Games: Episode Six,Sat,24 May 1969,5:15pm,00:22:53,4.20m,,53.0,91
853,Ghost Light: Part One,Wed,4 Oct 1989,7:34pm,00:24:17,4.20m,,68.0,94
854,The Smugglers: Episode 3,Sat,24 Sep 1966,5:49pm,00:23:55,4.20m,,43.0,96
855,The Curse of Fenric: Part Four,Wed,15 Nov 1989,7:34pm,00:24:16,4.20m,,68.0,104
856,Meglos: Part Two,Sat,4 Oct 1980,6:17pm,00:21:24,4.20m,,64.0,139
857,The War Games: Episode Nine,Sat,14 Jun 1969,5:14pm,00:24:34,4.10m,,57.0,91
858,Battlefield: Part Four,Wed,27 Sep 1989,7:34pm,00:24:14,4.00m,,65.0,89
859,Ghost Light: Part Two,Wed,11 Oct 1989,7:34pm,00:24:18,4.00m,,68.0,93
860,Dragonfire: Part Two,Mon,30 Nov 1987,7:35pm,00:24:40,4.00m,,61.0,96
861,Ghost Light: Part Three,Wed,18 Oct 1989,7:35pm,00:24:17,4.00m,,64.0,104
862,The Curse of Fenric: Part Two,Wed,1 Nov 1989,7:34pm,00:24:09,4.00m,,68.0,104
863,The Curse of Fenric: Part Three,Wed,8 Nov 1989,7:34pm,00:24:11,4.00m,,68.0,104
864,Battlefield: Part Two,Wed,13 Sep 1989,7:34pm,00:24:07,3.90m,,68.0,91
865,The Trial Of A Time Lord (The Mysterious Planet): Part Three,Sat,20 Sep 1986,5:47pm,00:24:18,3.90m,,70.0,98
866,The Trial Of A Time Lord (The Mysterious Planet): Part Four,Sat,27 Sep 1986,5:46pm,00:24:20,3.70m,,72.0,97
867,Full Circle: Part Two,Sat,1 Nov 1980,5:42pm,00:22:11,3.70m,,,170
868,Battlefield: Part Three,Wed,20 Sep 1989,7:35pm,00:24:13,3.60m,,67.0,95
869,The War Games: Episode Eight,Sat,7 Jun 1969,5:14pm,00:24:37,3.50m,,53.0,96
870,Legend Of The Sea Devils,Sun,17 Apr 2022,7:10pm,00:47:38,3.47m,20.6%,76.0,25
871,Battlefield: Part One,Wed,6 Sep 1989,7:35pm,00:24:06,3.10m,,69.0,102
