Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Address1,Address2,Postcode,Email
Tulip,Siddiq,Tulip Siddiq,"Siddiq, Tulip",Labour,Hampstead and Kilburn,House of Commons,London,SW1A 0AA,tulip.siddiq.mp@parliament.uk
David,Simmonds,David Simmonds,"Simmonds, David",Conservative,"Ruislip, Northwood and Pinner",House of Commons,London,SW1A 0AA,david.simmonds.mp@parliament.uk
Christopher,Skidmore,Chris Skidmore,"Skidmore, Chris",Conservative,Kingswood,House of Commons,London,SW1A 0AA,chris.skidmore.mp@parliament.uk
Andrew,Slaughter,Andy Slaughter,"Slaughter, Andy",Labour,Hammersmith,House of Commons,London,SW1A 0AA,slaughtera@parliament.uk
Alyn,Smith,Alyn Smith,"Smith, Alyn",Scottish National Party,Stirling,House of Commons,London,SW1A 0AA,alyn.smith.mp@parliament.uk
Catherine,Smith,Cat Smith,"Smith, Cat",Labour,Lancaster and Fleetwood,House of Commons,London,SW1A 0AA,cat.smith.mp@parliament.uk
Chloe,Smith,Chloe Smith,"Smith, Chloe",Conservative,Norwich North,House of Commons,London,SW1A 0AA,
Greg,Smith,Greg Smith,"Smith, Greg",Conservative,Buckingham,House of Commons,London,SW1A 0AA,greg.smith.mp@parliament.uk
Henry,Smith,Henry Smith,"Smith, Henry",Conservative,Crawley,House of Commons,London,SW1A 0AA,henry.smith.mp@parliament.uk
Jeffrey,Smith,Jeff Smith,"Smith, Jeff",Labour,"Manchester, Withington",House of Commons,London,SW1A 0AA,jeff.smith.mp@parliament.uk
Julian,Smith,Julian Smith,"Smith, Julian",Conservative,Skipton and Ripon,House of Commons,London,SW1A 0AA,julian.smith.mp@parliament.uk
Nicholas,Smith,Nick Smith,"Smith, Nick",Labour,Blaenau Gwent,House of Commons,London,SW1A 0AA,nick.smith.mp@parliament.uk
Royston,Smith,Royston Smith,"Smith, Royston",Conservative,"Southampton, Itchen",House of Commons,London,SW1A 0AA,royston.smith.mp@parliament.uk
Karin,Smyth,Karin Smyth,"Smyth, Karin",Labour,Bristol South,House of Commons,London,SW1A 0AA,karin.smyth.mp@parliament.uk
Alexander,Sobel,Alex Sobel,"Sobel, Alex",Labour,Leeds North West,House of Commons,London,SW1A 0AA,alex.sobel.mp@parliament.uk
Amanda,Solloway,Amanda Solloway,"Solloway, Amanda",Conservative,Derby North,House of Commons,London,SW1A 0AA,amanda.solloway.mp@parliament.uk
John,Spellar,John Spellar,"Spellar, John",Labour,Warley,House of Commons,London,SW1A 0AA,john.spellar.mp@parliament.uk
Ben,Spencer,Dr Ben Spencer,"Spencer, Dr Ben",Conservative,Runnymede and Weybridge,House of Commons,London,SW1A 0AA,ben.spencer.mp@parliament.uk
Mark,Spencer,Mark Spencer,"Spencer, Mark",Conservative,Sherwood,House of Commons,London,SW1A 0AA,mark.spencer.mp@parliament.uk
Alexander,Stafford,Alexander Stafford,"Stafford, Alexander",Conservative,Rother Valley,House of Commons,London,SW1A 0AA,alexander.stafford.mp@parliament.uk
Keir,Starmer,Keir Starmer,"Starmer, Keir",Labour,Holborn and St Pancras,House of Commons,London,SW1A 0AA,keir.starmer.mp@parliament.uk
Christopher,Stephens,Chris Stephens,"Stephens, Chris",Scottish National Party,Glasgow South West,House of Commons,London,SW1A 0AA,chris.stephens.mp@parliament.uk
Andrew,Stephenson,Andrew Stephenson,"Stephenson, Andrew",Conservative,Pendle,House of Commons,London,SW1A 0AA,andrew.stephenson.mp@parliament.uk
Joanna,Stevens,Jo Stevens,"Stevens, Jo",Labour,Cardiff Central,House of Commons,London,SW1A 0AA,jo.stevens.mp@parliament.uk
Jane,Stevenson,Jane Stevenson,"Stevenson, Jane",Conservative,Wolverhampton North East,House of Commons,London,SW1A 0AA,jane.stevenson.mp@parliament.uk
Andrew,Stevenson,John Stevenson,"Stevenson, John",Conservative,Carlisle,House of Commons,London,SW1A 0AA,john.stevenson.mp@parliament.uk
Robert,Stewart,Bob Stewart,"Stewart, Bob",Conservative,Beckenham,House of Commons,London,SW1A 0AA,bob.stewart.mp@parliament.uk
Iain,Stewart,Iain Stewart,"Stewart, Iain",Conservative,Milton Keynes South,House of Commons,London,SW1A 0AA,iain.stewart.mp@parliament.uk
Jamie,Stone,Jamie Stone,"Stone, Jamie",Liberal Democrat,"Caithness, Sutherland and Easter Ross",House of Commons,London,SW1A 0AA,jamie.stone.mp@parliament.uk
Gary,Streeter,Sir Gary Streeter,"Streeter, Sir Gary",Conservative,South West Devon,House of Commons,London,SW1A 0AA,deans@parliament.uk
Wesley,Streeting,Wes Streeting,"Streeting, Wes",Labour,Ilford North,House of Commons,London,SW1A 0AA,wes.streeting.mp@parliament.uk
Melvyn,Stride,Mel Stride,"Stride, Mel",Conservative,Central Devon,House of Commons,London,SW1A 0AA,mel.stride.mp@parliament.uk
Graham,Stringer,Graham Stringer,"Stringer, Graham",Labour,Blackley and Broughton,House of Commons,London,SW1A 0AA,graham.stringer.mp@parliament.uk
Graham,Stuart,Graham Stuart,"Stuart, Graham",Conservative,Beverley and Holderness,House of Commons,London,SW1A 0AA,grahamstuartmp@parliament.uk
Julian,Sturdy,Julian Sturdy,"Sturdy, Julian",Conservative,York Outer,House of Commons,London,SW1A 0AA,julian.sturdy.mp@parliament.uk
Zarah,Sultana,Zarah Sultana,"Sultana, Zarah",Labour,Coventry South,House of Commons,London,SW1A 0AA,zarah.sultana.mp@parliament.uk
Rishi,Sunak,Rishi Sunak,"Sunak, Rishi",Conservative,Richmond (Yorks),House of Commons,London,SW1A 0AA,rishi.sunak.mp@parliament.uk
James,Sunderland,James Sunderland,"Sunderland, James",Conservative,Bracknell,House of Commons,London,SW1A 0AA,james.sunderland.mp@parliament.uk
Desmond,Swayne,Sir Desmond Swayne,"Swayne, Sir Desmond",Conservative,New Forest West,House of Commons,London,SW1A 0AA,swayned@parliament.uk
Robert,Syms,Sir Robert Syms,"Syms, Sir Robert",Conservative,Poole,House of Commons,London,SW1A 0AA,symsmp.office@parliament.uk
Mark,Tami,Mark Tami,"Tami, Mark",Labour,Alyn and Deeside,House of Commons,London,SW1A 0AA,tamim@parliament.uk
Samuel,Tarry,Sam Tarry,"Tarry, Sam",Labour,Ilford South,House of Commons,London,SW1A 0AA,sam.tarry.mp@parliament.uk
Alison,Thewliss,Alison Thewliss,"Thewliss, Alison",Scottish National Party,Glasgow Central,House of Commons,London,SW1A 0AA,alison.thewliss.mp@parliament.uk
Derek,Thomas,Derek Thomas,"Thomas, Derek",Conservative,St Ives,House of Commons,London,SW1A 0AA,derek.thomas.mp@parliament.uk
Gareth,Thomas,Gareth Thomas,"Thomas, Gareth",Labour,Harrow West,House of Commons,London,SW1A 0AA,gareth.thomas.mp@parliament.uk
Nicklaus,Thomas-Symonds,Nick Thomas-Symonds,"Thomas-Symonds, Nick",Labour,Torfaen,House of Commons,London,SW1A 0AA,nick.thomassymonds.mp@parliament.uk
Owen,Thompson,Owen Thompson,"Thompson, Owen",Scottish National Party,Midlothian,House of Commons,London,SW1A 0AA,owen.thompson.mp@parliament.uk
Richard,Thomson,Richard Thomson,"Thomson, Richard",Scottish National Party,Gordon,House of Commons,London,SW1A 0AA,richard.thomson.mp@parliament.uk
Emily,Thornberry,Emily Thornberry,"Thornberry, Emily",Labour,Islington South and Finsbury,House of Commons,London,SW1A 0AA,thornberrye@parliament.uk
Margaret,Throup,Maggie Throup,"Throup, Maggie",Conservative,Erewash,House of Commons,London,SW1A 0AA,maggie.throup.mp@parliament.uk
Stephen,Timms,Stephen Timms,"Timms, Stephen",Labour,East Ham,House of Commons,London,SW1A 0AA,timmss@parliament.uk
Anthony,Timpson,Edward Timpson,"Timpson, Edward",Conservative,Eddisbury,House of Commons,London,SW1A 0AA,edward.timpson.mp@parliament.uk
Kelly,Tolhurst,Kelly Tolhurst,"Tolhurst, Kelly",Conservative,Rochester and Strood,House of Commons,London,SW1A 0AA,kelly.tolhurst.mp@parliament.uk
Justin,Tomlinson,Justin Tomlinson,"Tomlinson, Justin",Conservative,North Swindon,House of Commons,London,SW1A 0AA,justin.tomlinson.mp@parliament.uk
Michael,Tomlinson-Mynors,Michael Tomlinson,"Tomlinson, Michael",Conservative,Mid Dorset and North Poole,House of Commons,London,SW1A 0AA,michael.tomlinson.mp@parliament.uk
Craig,Tracey,Craig Tracey,"Tracey, Craig",Conservative,North Warwickshire,House of Commons,London,SW1A 0AA,craig.tracey.mp@parliament.uk
Anne-Marie,Trevelyan,Anne-Marie Trevelyan,"Trevelyan, Anne-Marie",Conservative,Berwick-upon-Tweed,House of Commons,London,SW1A 0AA,annemarie.trevelyan.mp@parliament.uk
Jon,Trickett,Jon Trickett,"Trickett, Jon",Labour,Hemsworth,House of Commons,London,SW1A 0AA,trickettj@parliament.uk
Laura,Trott,Laura Trott,"Trott, Laura",Conservative,Sevenoaks,House of Commons,London,SW1A 0AA,laura.trott.mp@parliament.uk
Elizabeth,Truss,Elizabeth Truss,"Truss, Elizabeth",Conservative,South West Norfolk,House of Commons,London,SW1A 0AA,elizabeth.truss.mp@parliament.uk
Thomas,Tugendhat,Tom Tugendhat,"Tugendhat, Tom",Conservative,Tonbridge and Malling,House of Commons,London,SW1A 0AA,tom.tugendhat.mp@parliament.uk
Karl,Turner,Karl Turner,"Turner, Karl",Labour,Kingston upon Hull East,House of Commons,London,SW1A 0AA,karl.turner.mp@parliament.uk
John,Twigg,Derek Twigg,"Twigg, Derek",Labour,Halton,House of Commons,London,SW1A 0AA,derek.twigg.mp@parliament.uk
Mary,Twist,Liz Twist,"Twist, Liz",Labour,Blaydon,House of Commons,London,SW1A 0AA,liz.twist.mp@parliament.uk
Shailesh,Vara,Mr Shailesh Vara,"Vara, Mr Shailesh",Conservative,North West Cambridgeshire,House of Commons,London,SW1A 0AA,shailesh.vara.mp@parliament.uk
Valerie,Vaz,Valerie Vaz,"Vaz, Valerie",Labour,Walsall South,House of Commons,London,SW1A 0AA,valerie.vaz.mp@parliament.uk
Martin,Vickers,Martin Vickers,"Vickers, Martin",Conservative,Cleethorpes,House of Commons,London,SW1A 0AA,martin.vickers.mp@parliament.uk
Matthew,Vickers,Matt Vickers,"Vickers, Matt",Conservative,Stockton South,House of Commons,London,SW1A 0AA,matt.vickers.mp@parliament.uk
Theresa,Villiers,Theresa Villiers,"Villiers, Theresa",Conservative,Chipping Barnet,House of Commons,London,SW1A 0AA,
Christian,Wakeford,Christian Wakeford,"Wakeford, Christian",Conservative,Bury South,House of Commons,London,SW1A 0AA,christian.wakeford.mp@parliament.uk
Robin,Walker,Mr Robin Walker,"Walker, Mr Robin",Conservative,Worcester,House of Commons,London,SW1A 0AA,robin.walker.mp@parliament.uk
Charles,Walker,Sir Charles Walker,"Walker, Sir Charles",Conservative,Broxbourne,House of Commons,London,SW1A 0AA,charles.walker.mp@parliament.uk
Robert,Wallace,Mr Ben Wallace,"Wallace, Mr Ben",Conservative,Wyre and Preston North,House of Commons,London,SW1A 0AA,wallaceb@parliament.uk
Jamie,Wallis,Dr Jamie Wallis,"Wallis, Dr Jamie",Conservative,Bridgend,House of Commons,London,SW1A 0AA,jamie.wallis.mp@parliament.uk
David,Warburton,David Warburton,"Warburton, David",Conservative,Somerton and Frome,House of Commons,London,SW1A 0AA,david.warburton.mp@parliament.uk
Matthew,Warman,Matt Warman,"Warman, Matt",Conservative,Boston and Skegness,House of Commons,London,SW1A 0AA,matt.warman.mp@parliament.uk
Giles,Watling,Giles Watling,"Watling, Giles",Conservative,Clacton,House of Commons,London,SW1A 0AA,giles.watling.mp@parliament.uk
Suzanne,Webb,Suzanne Webb,"Webb, Suzanne",Conservative,Stourbridge,House of Commons,London,SW1A 0AA,suzanne.webb.mp@parliament.uk
Claudia,Webbe,Claudia Webbe,"Webbe, Claudia",Independent,Leicester East,House of Commons,London,SW1A 0AA,claudia.webbe.mp@parliament.uk
Catherine,West,Catherine West,"West, Catherine",Labour,Hornsey and Wood Green,House of Commons,London,SW1A 0AA,catherine.west.mp@parliament.uk
Matthew,Western,Matt Western,"Western, Matt",Labour,Warwick and Leamington,House of Commons,London,SW1A 0AA,matt.western.mp@parliament.uk
Helen,Whately,Helen Whately,"Whately, Helen",Conservative,Faversham and Mid Kent,House of Commons,London,SW1A 0AA,helen.whately.mp@parliament.uk
Heather,Wheeler,Mrs Heather Wheeler,"Wheeler, Mrs Heather",Conservative,South Derbyshire,House of Commons,London,SW1A 0AA,heather.wheeler.mp@parliament.uk
Alan,Whitehead,Dr Alan Whitehead,"Whitehead, Dr Alan",Labour,"Southampton, Test",House of Commons,London,SW1A 0AA,whiteheada@parliament.uk
Philippa,Whitford,Dr Philippa Whitford,"Whitford, Dr Philippa",Scottish National Party,Central Ayrshire,House of Commons,London,SW1A 0AA,philippa.whitford.mp@parliament.uk
Michael,Whitley,Mick Whitley,"Whitley, Mick",Labour,Birkenhead,House of Commons,London,SW1A 0AA,mick.whitley.mp@parliament.uk
Craig,Whittaker,Craig Whittaker,"Whittaker, Craig",Conservative,Calder Valley,House of Commons,London,SW1A 0AA,craig.whittaker.mp@parliament.uk
John,Whittingdale,Mr John Whittingdale,"Whittingdale, Mr John",Conservative,Maldon,House of Commons,London,SW1A 0AA,john.whittingdale.mp@parliament.uk
Nadia,Whittome,Nadia Whittome,"Whittome, Nadia",Labour,Nottingham East,House of Commons,London,SW1A 0AA,nadia.whittome.mp@parliament.uk
William,Wiggin,Bill Wiggin,"Wiggin, Bill",Conservative,North Herefordshire,House of Commons,London,SW1A 0AA,bill.wiggin.mp@parliament.uk
James,Wild,James Wild,"Wild, James",Conservative,North West Norfolk,House of Commons,London,SW1A 0AA,james.wild.mp@parliament.uk
Alun Craig,Williams,Craig Williams,"Williams, Craig",Conservative,Montgomeryshire,House of Commons,London,SW1A 0AA,craig.williams.mp@parliament.uk
Hywel,Williams,Hywel Williams,"Williams, Hywel",Plaid Cymru,Arfon,House of Commons,London,SW1A 0AA,hywel.williams.mp@parliament.uk
Gavin,Williamson,Gavin Williamson,"Williamson, Gavin",Conservative,South Staffordshire,House of Commons,London,SW1A 0AA,gavin.williamson.mp@parliament.uk
Munira,Wilson,Munira Wilson,"Wilson, Munira",Liberal Democrat,Twickenham,House of Commons,London,SW1A 0AA,munira.wilson.mp@parliament.uk
Samuel,Wilson,Sammy Wilson,"Wilson, Sammy",Democratic Unionist Party,East Antrim,House of Commons,London,SW1A 0AA,barronj@parliament.uk
Bethan,Winter,Beth Winter,"Winter, Beth",Labour,Cynon Valley,House of Commons,London,SW1A 0AA,beth.winter.mp@parliament.uk
Rosalie,Winterton,Dame Rosie Winterton,"Winterton, Dame Rosie",Labour,Doncaster Central,House of Commons,London,SW1A 0AA,rosie.winterton.mp@parliament.uk
Peter,Wishart,Pete Wishart,"Wishart, Pete",Scottish National Party,Perth and North Perthshire,House of Commons,London,SW1A 0AA,pete.wishart.mp@parliament.uk
Michael,Wood,Mike Wood,"Wood, Mike",Conservative,Dudley South,House of Commons,London,SW1A 0AA,mike.wood.mp@parliament.uk
William,Wragg,Mr William Wragg,"Wragg, Mr William",Conservative,Hazel Grove,House of Commons,London,SW1A 0AA,
Jeremy,Wright,Jeremy Wright,"Wright, Jeremy",Conservative,Kenilworth and Southam,House of Commons,London,SW1A 0AA,Jeremy.wright.mp@parliament.uk
Mohammad,Yasin,Mohammad Yasin,"Yasin, Mohammad",Labour,Bedford,House of Commons,London,SW1A 0AA,mohammad.yasin.mp@parliament.uk
Jacob,Young,Jacob Young,"Young, Jacob",Conservative,Redcar,House of Commons,London,SW1A 0AA,jacob.young.mp@parliament.uk
Nadhim,Zahawi,Nadhim Zahawi,"Zahawi, Nadhim",Conservative,Stratford-on-Avon,House of Commons,London,SW1A 0AA,nadhim.zahawi.mp@parliament.uk
Daniel,Zeichner,Daniel Zeichner,"Zeichner, Daniel",Labour,Cambridge,House of Commons,London,SW1A 0AA,daniel@danielzeichner.co.uk
